Date,Open,High,Low,Close,PE,PBV,T_EPS,FSCORE,Vol,Buy Vol,Sell Vol,ATO/ATC,EMA25,EMA50,EMA200,MACD,RSI
2021-10-20,9.55,9.55,9.4,9.45,22.55,2.06,0.42,3,69795700,21144900,40641900,8008900,9.51,9.39,9.45,0.08,47.83
2021-11-01,9.55,9.6,9.45,9.5,22.67,2.07,0.42,3,16967800,3029300,11232200,2706300,9.5,9.41,9.46,0.02,50.29
2021-11-10,9.65,9.7,9.6,9.7,23.15,2.11,0.42,3,17801200,8060600,6307900,3432700,9.53,9.45,9.46,0.04,60.28
2021-11-19,9.8,9.85,9.55,9.55,23.6,2.11,0.41,3,61185700,15709000,41215800,4260900,9.6,9.51,9.48,0.05,48.07
2021-11-30,9.15,9.4,8.95,9.2,22.74,2.03,0.41,3,128174500,36911100,42176500,49086900,9.52,9.49,9.47,-0.06,37.88
2021-12-13,9.4,9.45,9.25,9.4,23.23,2.07,0.41,3,36065300,16205400,14243300,5616600,9.42,9.44,9.46,-0.07,48.88
2021-12-22,9.3,9.4,9.3,9.35,23.11,2.06,0.41,3,12612600,4313100,5788300,2511200,9.42,9.43,9.46,-0.03,46.24
2022-01-04,9.35,9.5,9.35,9.45,23.35,2.08,0.41,3,30582600,10644800,13972600,5965200,9.4,9.42,9.45,-0.02,52.63
2022-01-13,9.3,9.35,9.2,9.25,22.86,2.04,0.41,3,18076600,2405200,12548500,3122900,9.35,9.38,9.44,-0.04,43.51
2022-01-24,9.15,9.25,9.1,9.15,22.61,2.02,0.41,3,25973400,8845300,10661100,6467000,9.27,9.33,9.42,-0.06,39.5
2022-02-02,9.3,9.4,9.25,9.4,23.23,2.07,0.41,3,23366100,12222900,8055800,3087400,9.24,9.3,9.41,-0.03,61.72
2022-02-11,9.4,9.45,9.25,9.3,22.98,2.05,0.41,3,49007000,15680500,26112100,7214400,9.28,9.31,9.4,0.02,51.05
2022-02-23,9.75,9.85,9.65,9.75,27.34,2.07,0.36,2,51930900,20480300,27395300,4055300,9.46,9.4,9.42,0.14,60.29
2022-03-04,9.6,9.65,9.45,9.5,26.64,2.02,0.36,2,43091800,13109500,21014200,8968100,9.5,9.44,9.43,0.07,50.3
2022-03-15,9.25,9.3,9.1,9.15,25.65,1.94,0.36,2,30640700,12235100,15790800,2614800,9.37,9.38,9.41,-0.06,41.32
2022-03-24,9.1,9.15,9.05,9.15,25.65,1.94,0.36,2,23341300,11828100,7003300,4509900,9.29,9.33,9.4,-0.08,43.5
2022-04-04,9.15,9.15,9.05,9.1,25.51,1.93,0.36,2,18691400,6297000,10676400,1718000,9.22,9.28,9.38,-0.07,43.26
2022-04-19,9.05,9.15,9.05,9.1,25.51,1.93,0.36,2,18337200,7658900,6698300,3980000,9.17,9.24,9.36,-0.05,43.26
2022-04-28,8.9,9.0,8.9,8.95,25.1,1.9,0.36,2,24078600,15695700,4755500,3627400,9.11,9.19,9.34,-0.06,36.4
2022-05-11,8.9,8.95,8.75,8.85,24.82,1.88,0.36,2,25224200,9964400,10748900,4510900,9.01,9.11,9.31,-0.09,40.98
2022-05-23,8.8,8.9,8.65,8.75,24.54,1.86,0.36,2,192938800,78540200,93422500,20976100,8.98,9.07,9.28,-0.05,41.98
2022-06-01,8.9,8.9,8.75,8.8,30.29,1.87,0.29,3,24815600,10219700,10597700,3998200,8.88,8.99,9.25,-0.07,46.45
2022-06-13,8.45,8.5,8.4,8.4,28.91,1.78,0.29,3,29234600,9890400,11695300,7648900,8.75,8.89,9.2,-0.12,33.17
2022-06-22,8.45,8.5,8.3,8.35,28.74,1.77,0.29,3,22505300,2842300,13479900,6183100,8.6,8.77,9.15,-0.14,38.96
2022-07-01,8.55,8.6,8.5,8.55,29.43,1.81,0.29,3,14016600,4904000,4978600,4134000,8.58,8.72,9.11,-0.05,48.09
2022-07-12,8.65,8.65,8.55,8.6,29.6,1.82,0.29,3,16345400,6590400,7124300,2630700,8.57,8.68,9.07,-0.02,51.19
2022-07-22,8.65,8.65,8.55,8.65,29.77,1.84,0.29,3,31927300,11690900,15922700,4313700,8.6,8.67,9.04,0.01,53.28
2022-08-04,8.55,8.6,8.55,8.6,29.6,1.82,0.29,3,9980300,1436100,4566300,3977900,8.61,8.66,9.01,0.01,49.31
2022-08-16,8.7,8.7,8.5,8.5,37.58,1.8,0.23,3,39377100,6308700,25352700,7715700,8.62,8.65,8.99,0.01,41.0
2022-08-25,8.35,8.4,8.3,8.35,36.91,1.75,0.23,3,19200800,11408500,4691300,3101000,8.52,8.59,8.95,-0.07,35.44
2022-09-05,8.6,8.6,8.5,8.5,37.58,1.78,0.23,3,28922800,10838200,13057700,5026900,8.48,8.55,8.91,-0.04,50.8
